"runName","chain","repId","rootConfig","count","nTrees"
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",2,180
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4",1,180
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C3,C4,D1,D2,D3,D4",5,180
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A2,A3,A4,B1,B2,B3,B4,C2,C3,C4,D1,D2,D3,D4",15,180
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A2,A3,A4,B1,B2,B3,B4,C3,C4,D1,D2,D3,D4",6,180
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",35,180
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A2,A3,A4,C1,C2,C3,C4",13,180
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",8,180
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",6,180
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",9,180
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2",3,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4",16,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",25,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D4",2,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D3,D4",8,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D2,D3,D4",3,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D3,D4",9,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4",6,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C4,D1,D2,D3,D4",16,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4,B1,B2,B3,B4,C4,D1,D2,D3,D4",14,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",20,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4,B4,C1,C2,C3,C4,D1,D2,D3,D4",2,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4,C1,C2,C3,C4",20,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",20,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",3,168
"v4cross-b-pt5-rep03-blind","blind",3,"A1,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",1,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2",23,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2,A3",7,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2,A3,A4",18,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",3,168
"v4cross-b-pt5-rep03-aware","aware",3,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4",2,168
