"char","type","pZ0_eco1","pZ1_eco1","pZ2_eco1","pAff_eco1","pZ0_eco2","pZ1_eco2","pZ2_eco2","pAff_eco2","pZ0_eco3","pZ1_eco3","pZ2_eco3","pAff_eco3"
112,"neomorphic",0.209813874788494,0.00338409475465313,0.786802030456853,0.790186125211506,0.416243654822335,0.328257191201354,0.255499153976311,0.583756345177665,0.32994923857868,0.0236886632825719,0.646362098138748,0.67005076142132
113,"neomorphic",0.382402707275804,0.0203045685279188,0.597292724196278,0.617597292724196,0.461928934010152,0.233502538071066,0.304568527918782,0.538071065989848,0.429780033840948,0.0846023688663283,0.485617597292724,0.570219966159052
114,"neomorphic",0.363790186125212,0.0169204737732657,0.619289340101523,0.636209813874788,0.307952622673435,0.597292724196278,0.0947546531302876,0.692047377326565,0.368866328257191,0.0423011844331641,0.588832487309645,0.631133671742809
115,"transformational",0.505922165820643,0.0236886632825719,0.470389170896785,0.494077834179357,0.472081218274112,0.169204737732657,0.358714043993232,0.527918781725888,0.526226734348562,0.0727580372250423,0.401015228426396,0.473773265651438
116,"neomorphic",0.299492385786802,0.011844331641286,0.688663282571912,0.700507614213198,0.467005076142132,0.243654822335025,0.289340101522843,0.532994923857868,0.399323181049069,0.065989847715736,0.534686971235195,0.600676818950931
117,"neomorphic",0.50761421319797,0.194585448392555,0.297800338409475,0.49238578680203,0.465313028764805,0.304568527918782,0.230118443316413,0.534686971235195,0.543147208121827,0.245346869712352,0.211505922165821,0.456852791878173
118,"neomorphic",0.60575296108291,0.231810490693739,0.16243654822335,0.39424703891709,0.455160744500846,0.326565143824027,0.218274111675127,0.544839255499154,0.175972927241963,0.0236886632825719,0.800338409475465,0.824027072758037
119,"neomorphic",0.169204737732657,0.00169204737732657,0.829103214890017,0.830795262267343,0.470389170896785,0.165820642978003,0.363790186125212,0.529610829103215,0.401015228426396,0.0338409475465313,0.565143824027073,0.598984771573604
120,"neomorphic",0.788494077834179,0.208121827411168,0.00338409475465313,0.211505922165821,0.456852791878173,0.2165820642978,0.326565143824027,0.543147208121827,0.328257191201354,0.656514382402707,0.0152284263959391,0.671742808798646
121,"neomorphic",0.309644670050761,0.0372250423011844,0.653130287648054,0.690355329949239,0.458544839255499,0.238578680203046,0.302876480541455,0.541455160744501,0.456852791878173,0.0761421319796954,0.467005076142132,0.543147208121827
122,"neomorphic",0.851099830795262,0.0186125211505922,0.130287648054146,0.148900169204738,0.463620981387479,0.187817258883249,0.348561759729272,0.536379018612521,0.130287648054146,0.00676818950930626,0.862944162436548,0.869712351945855
123,"neomorphic",0.201353637901861,0.00338409475465313,0.795262267343486,0.798646362098139,0.468697123519459,0.336717428087986,0.194585448392555,0.531302876480541,0.565143824027073,0.209813874788494,0.225042301184433,0.434856175972927
124,"neomorphic",0.477157360406091,0.0135363790186125,0.509306260575296,0.522842639593909,0.451776649746193,0.233502538071066,0.314720812182741,0.548223350253807,0.499153976311337,0.0998307952622673,0.401015228426396,0.500846023688663
125,"transformational",0.727580372250423,0.0710659898477157,0.201353637901861,0.272419627749577,0.397631133671743,0.451776649746193,0.150592216582064,0.602368866328257,0.360406091370558,0.0186125211505922,0.620981387478849,0.639593908629442
126,"transformational",0.291032148900169,0.700507614213198,0.00846023688663283,0.708967851099831,0.433164128595601,0.363790186125212,0.203045685279188,0.566835871404399,0.49746192893401,0.206429780033841,0.296108291032149,0.50253807106599
127,"neomorphic",0.629441624365482,0.360406091370558,0.0101522842639594,0.370558375634518,0.461928934010152,0.39424703891709,0.143824027072758,0.538071065989848,0.536379018612521,0.0761421319796954,0.387478849407783,0.463620981387479
128,"neomorphic",0.624365482233503,0.307952622673435,0.0676818950930626,0.375634517766497,0.402707275803723,0.191201353637902,0.406091370558376,0.597292724196278,0.416243654822335,0.331641285956007,0.252115059221658,0.583756345177665
129,"transformational",0.478849407783418,0.0439932318104907,0.477157360406091,0.521150592216582,0.399323181049069,0.439932318104907,0.160744500846024,0.600676818950931,0.292724196277496,0.0321489001692047,0.6751269035533,0.707275803722504
130,"neomorphic",0.77834179357022,0.038917089678511,0.182741116751269,0.22165820642978,0.377326565143824,0.142131979695431,0.480541455160744,0.622673434856176,0.0236886632825719,0,0.976311336717428,0.976311336717428
