"runName","design","paramSet","chain","repId","metric","value_corrected","value_legacy","fracRootInside","nTrees","rdsPath"
"v4cross-b-pt5-rep01-aware","v4cross","v4b","aware",1,"trueSister_AC",1,0.437158469945355,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/aware-rep01-result.rds"
"v4cross-b-pt5-rep01-aware","v4cross","v4b","aware",1,"trueSister_BD",1,0.60655737704918,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/aware-rep01-result.rds"
"v4cross-b-pt5-rep02-blind","v4cross","v4b","blind",2,"CID",0.0285644573192125,0.0285644573192125,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/blind-rep02-result.rds"
"v4cross-b-pt5-rep02-blind","v4cross","v4b","blind",2,"falseClade_AB",0,0,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/blind-rep02-result.rds"
"v4cross-b-pt5-rep02-blind","v4cross","v4b","blind",2,"falseInner",0,0,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/blind-rep02-result.rds"
"v4cross-b-pt5-rep02-blind","v4cross","v4b","blind",2,"trueClade_A",1,1,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/blind-rep02-result.rds"
"v4cross-b-pt5-rep02-blind","v4cross","v4b","blind",2,"trueClade_B",1,0.85792349726776,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/blind-rep02-result.rds"
"v4cross-b-pt5-rep02-blind","v4cross","v4b","blind",2,"trueClade_C",1,1,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/blind-rep02-result.rds"
"v4cross-b-pt5-rep02-blind","v4cross","v4b","blind",2,"trueClade_D",1,0.934426229508197,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/blind-rep02-result.rds"
"v4cross-b-pt5-rep02-blind","v4cross","v4b","blind",2,"trueSister_AC",1,0.754098360655738,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/blind-rep02-result.rds"
"v4cross-b-pt5-rep02-blind","v4cross","v4b","blind",2,"trueSister_BD",1,0.486338797814208,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/blind-rep02-result.rds"
"v4cross-b-pt5-rep02-aware","v4cross","v4b","aware",2,"CID",0.0213643312860238,0.0213643312860238,NA,180,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/aware-rep02-result.rds"
"v4cross-b-pt5-rep02-aware","v4cross","v4b","aware",2,"falseClade_AB",0,0,1,180,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/aware-rep02-result.rds"
"v4cross-b-pt5-rep02-aware","v4cross","v4b","aware",2,"falseInner",0,0,0,180,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/aware-rep02-result.rds"
"v4cross-b-pt5-rep02-aware","v4cross","v4b","aware",2,"trueClade_A",1,0.805555555555556,1,180,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/aware-rep02-result.rds"
"v4cross-b-pt5-rep02-aware","v4cross","v4b","aware",2,"trueClade_B",1,1,0,180,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/aware-rep02-result.rds"
"v4cross-b-pt5-rep02-aware","v4cross","v4b","aware",2,"trueClade_C",1,0.85,0,180,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/aware-rep02-result.rds"
"v4cross-b-pt5-rep02-aware","v4cross","v4b","aware",2,"trueClade_D",1,1,0,180,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/aware-rep02-result.rds"
"v4cross-b-pt5-rep02-aware","v4cross","v4b","aware",2,"trueSister_AC",1,0.127777777777778,1,180,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/aware-rep02-result.rds"
"v4cross-b-pt5-rep02-aware","v4cross","v4b","aware",2,"trueSister_BD",1,0.944444444444444,0,180,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep02/aware-rep02-result.rds"
"v4cross-b-pt5-rep03-blind","v4cross","v4b","blind",3,"CID",0.00163705275975968,0.00163705275975968,NA,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/blind-rep03-result.rds"
"v4cross-b-pt5-rep03-blind","v4cross","v4b","blind",3,"falseClade_AB",0,0,1,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/blind-rep03-result.rds"
"v4cross-b-pt5-rep03-blind","v4cross","v4b","blind",3,"falseInner",0,0,0,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/blind-rep03-result.rds"
"v4cross-b-pt5-rep03-blind","v4cross","v4b","blind",3,"trueClade_A",1,0.958333333333333,1,168,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep03/blind-rep03-result.rds"
