"metric","value_corrected","value_legacy","nTrees","rep","chain","nTreesTotal","nUnique","topShare","tlMean","tlMed","tlMin","tlMax","truthTL"
"falseSister_AB",0.461538461538462,0.461538461538462,182,5,"aware",243,111,0.0604395604395604,19.2058073091319,18.5751169472926,11.8673173705737,30.5009881486583,13.5
"falseSister_CD",0.461538461538462,0.0714285714285714,182,5,"aware",243,111,0.0604395604395604,19.2058073091319,18.5751169472926,11.8673173705737,30.5009881486583,13.5
"trueClade_A",0.192307692307692,0.181318681318681,182,5,"aware",243,111,0.0604395604395604,19.2058073091319,18.5751169472926,11.8673173705737,30.5009881486583,13.5
"trueClade_B",0.769230769230769,0.747252747252747,182,5,"aware",243,111,0.0604395604395604,19.2058073091319,18.5751169472926,11.8673173705737,30.5009881486583,13.5
"trueClade_C",0,0,182,5,"aware",243,111,0.0604395604395604,19.2058073091319,18.5751169472926,11.8673173705737,30.5009881486583,13.5
"trueClade_D",0.021978021978022,0.010989010989011,182,5,"aware",243,111,0.0604395604395604,19.2058073091319,18.5751169472926,11.8673173705737,30.5009881486583,13.5
"CID",0.473480157567379,0.473480157567379,182,5,"aware",243,111,0.0604395604395604,19.2058073091319,18.5751169472926,11.8673173705737,30.5009881486583,13.5
"trueSister_AC",0,0,178,6,"blind",238,142,0.0224719101123595,81.1855516481643,81.2552705378444,60.468395172525,101.817986246863,13.5
"trueSister_BD",0,0,178,6,"blind",238,142,0.0224719101123595,81.1855516481643,81.2552705378444,60.468395172525,101.817986246863,13.5
"falseSister_AB",0.949438202247191,0.443820224719101,178,6,"blind",238,142,0.0224719101123595,81.1855516481643,81.2552705378444,60.468395172525,101.817986246863,13.5
"falseSister_CD",0.949438202247191,0.904494382022472,178,6,"blind",238,142,0.0224719101123595,81.1855516481643,81.2552705378444,60.468395172525,101.817986246863,13.5
"trueClade_A",0.219101123595506,0.207865168539326,178,6,"blind",238,142,0.0224719101123595,81.1855516481643,81.2552705378444,60.468395172525,101.817986246863,13.5
"trueClade_B",0.786516853932584,0.539325842696629,178,6,"blind",238,142,0.0224719101123595,81.1855516481643,81.2552705378444,60.468395172525,101.817986246863,13.5
"trueClade_C",0.365168539325843,0.365168539325843,178,6,"blind",238,142,0.0224719101123595,81.1855516481643,81.2552705378444,60.468395172525,101.817986246863,13.5
"trueClade_D",0.146067415730337,0.140449438202247,178,6,"blind",238,142,0.0224719101123595,81.1855516481643,81.2552705378444,60.468395172525,101.817986246863,13.5
"CID",0.418287074789625,0.418287074789625,178,6,"blind",238,142,0.0224719101123595,81.1855516481643,81.2552705378444,60.468395172525,101.817986246863,13.5
"trueSister_AC",0.0303030303030303,0,165,6,"aware",220,117,0.0303030303030303,18.435040724485,18.210649627447,11.7481725394299,27.611674614677,13.5
"trueSister_BD",0.0303030303030303,0.0303030303030303,165,6,"aware",220,117,0.0303030303030303,18.435040724485,18.210649627447,11.7481725394299,27.611674614677,13.5
"falseSister_AB",0.0848484848484849,0.0848484848484849,165,6,"aware",220,117,0.0303030303030303,18.435040724485,18.210649627447,11.7481725394299,27.611674614677,13.5
"falseSister_CD",0.0848484848484849,0.00606060606060606,165,6,"aware",220,117,0.0303030303030303,18.435040724485,18.210649627447,11.7481725394299,27.611674614677,13.5
"trueClade_A",0.666666666666667,0.666666666666667,165,6,"aware",220,117,0.0303030303030303,18.435040724485,18.210649627447,11.7481725394299,27.611674614677,13.5
"trueClade_B",0.775757575757576,0.775757575757576,165,6,"aware",220,117,0.0303030303030303,18.435040724485,18.210649627447,11.7481725394299,27.611674614677,13.5
"trueClade_C",0.0666666666666667,0,165,6,"aware",220,117,0.0303030303030303,18.435040724485,18.210649627447,11.7481725394299,27.611674614677,13.5
"trueClade_D",0.296969696969697,0.296969696969697,165,6,"aware",220,117,0.0303030303030303,18.435040724485,18.210649627447,11.7481725394299,27.611674614677,13.5
"CID",0.349736227683582,0.349736227683582,165,6,"aware",220,117,0.0303030303030303,18.435040724485,18.210649627447,11.7481725394299,27.611674614677,13.5
"trueSister_AC",0,0,167,7,"blind",223,132,0.0239520958083832,138.698167561248,134.554122890925,101.202979491351,224.908337089801,13.5
"trueSister_BD",0,0,167,7,"blind",223,132,0.0239520958083832,138.698167561248,134.554122890925,101.202979491351,224.908337089801,13.5
"falseSister_AB",1,1,167,7,"blind",223,132,0.0239520958083832,138.698167561248,134.554122890925,101.202979491351,224.908337089801,13.5
"falseSister_CD",1,0.263473053892216,167,7,"blind",223,132,0.0239520958083832,138.698167561248,134.554122890925,101.202979491351,224.908337089801,13.5
"trueClade_A",0.730538922155689,0.730538922155689,167,7,"blind",223,132,0.0239520958083832,138.698167561248,134.554122890925,101.202979491351,224.908337089801,13.5
"trueClade_B",0.37125748502994,0.37125748502994,167,7,"blind",223,132,0.0239520958083832,138.698167561248,134.554122890925,101.202979491351,224.908337089801,13.5
"trueClade_C",0,0,167,7,"blind",223,132,0.0239520958083832,138.698167561248,134.554122890925,101.202979491351,224.908337089801,13.5
